股票代码,股票简称,股票市场类型
002921.SZ,联诚精密,a股
002923.SZ,润都股份,a股
002927.SZ,泰永长征,a股
002925.SZ,盈趣科技,a股
002929.SZ,润建股份,a股
002928.SZ,华夏航空,a股
002930.SZ,宏川智慧,a股
002933.SZ,新兴装备,a股
002935.SZ,天奥电子,a股
002941.SZ,新疆交建,a股
002942.SZ,新农股份,a股
002949.SZ,华阳国际,a股
002946.SZ,新乳业,a股
002950.SZ,奥美医疗,a股
002952.SZ,亚世光电,a股
002957.SZ,科瑞技术,a股
002959.SZ,小熊电器,a股
002960.SZ,青鸟智控,a股
002962.SZ,五方光电,a股
002963.SZ,豪尔赛,a股
002967.SZ,广电计量,a股
002968.SZ,新大正,a股
002972.SZ,科安达,a股
002976.SZ,瑞玛精密,a股
002978.SZ,安宁股份,a股
002981.SZ,朝阳科技,a股
002982.SZ,湘佳股份,a股
002985.SZ,北摩高科,a股
002987.SZ,京北方,a股
002990.SZ,盛视科技,a股
002993.SZ,奥海科技,a股
002995.SZ,天地在线,a股
002998.SZ,优彩资源,a股
002999.SZ,天禾股份,a股
003003.SZ,天元股份,a股
003007.SZ,直真科技,a股
003008.SZ,开普检测,a股
003009.SZ,中天火箭,a股
003012.SZ,东鹏控股,a股
003011.SZ,海象新材,a股
003016.SZ,欣贺股份,a股
003015.SZ,日久光电,a股
003017.SZ,大洋生物,a股
003023.SZ,彩虹集团,a股
003025.SZ,思进智能,a股
003026.SZ,中晶科技,a股
003027.SZ,同兴科技,a股
003030.SZ,祖名股份,a股
003039.SZ,顺控发展,a股
003040.SZ,楚天龙,a股
003042.SZ,中农联合,a股
300008.SZ,天海防务,a股
300011.SZ,鼎汉技术,a股
300021.SZ,大禹节水,a股
300022.SZ,吉峰科技,a股
300026.SZ,红日药业,a股
300030.SZ,阳普医疗,a股
300031.SZ,宝通科技,a股
300034.SZ,钢研高纳,a股
300036.SZ,超图软件,a股
300039.SZ,上海凯宝,a股
300040.SZ,九洲集团,a股
300050.SZ,世纪鼎利,a股
300051.SZ,琏升科技,a股
300065.SZ,海兰信,a股
300069.SZ,金利华电,a股
300072.SZ,海新能科,a股
300074.SZ,华平股份,a股
300075.SZ,数字政通,a股
300078.SZ,思创智联,a股
300079.SZ,数码视讯,a股
300080.SZ,易成新能,a股
300083.SZ,创世纪,a股
300085.SZ,银之杰,a股
300086.SZ,康芝药业,a股
300092.SZ,科新机电,a股
300095.SZ,华伍股份,a股
300101.SZ,振芯科技,a股
300103.SZ,达刚控股,a股
300105.SZ,龙源技术,a股
300106.SZ,西部牧业,a股
300109.SZ,新开源,a股
300112.SZ,万讯自控,a股
300113.SZ,顺网科技,a股
300119.SZ,瑞普生物,a股
300126.SZ,锐奇股份,a股
300130.SZ,新国都,a股
300132.SZ,诺斯贝尔,a股
300133.SZ,华策影视,a股
300134.SZ,大富科技,a股
300135.SZ,宝利国际,a股
300138.SZ,晨光生物,a股
300141.SZ,和顺电气,a股
300143.SZ,盈康生命,a股
300148.SZ,天舟文化,a股
300150.SZ,世纪瑞尔,a股
300151.SZ,昌红科技,a股
300154.SZ,瑞凌股份,a股
300155.SZ,安居宝,a股
300157.SZ,新锦动力,a股
300158.SZ,振东制药,a股
300162.SZ,雷曼光电,a股
300166.SZ,东方国信,a股
300168.SZ,万达信息,a股
300170.SZ,汉得信息,a股
300169.SZ,天晟新材,a股
300171.SZ,东富龙,a股
300172.SZ,中电环保,a股
300176.SZ,鸿特科技,a股
300180.SZ,华峰超纤,a股
300182.SZ,捷成股份,a股
300183.SZ,东软载波,a股
300185.SZ,通裕重工,a股
300187.SZ,永清环保,a股
300188.SZ,国投智能,a股
300191.SZ,潜能恒信,a股
300190.SZ,维尔利,a股
300193.SZ,佳士科技,a股
300195.SZ,长荣股份,a股
300203.SZ,聚光科技,a股
300206.SZ,理邦仪器,a股
300218.SZ,安利股份,a股
300214.SZ,日科化学,a股
300224.SZ,正海磁材,a股
300229.SZ,拓尔思,a股
300230.SZ,永利股份,a股
300232.SZ,洲明科技,a股
300234.SZ,开尔新材,a股
300235.SZ,方直科技,a股
300233.SZ,金城医药,a股
300236.SZ,上海新阳,a股
300239.SZ,东宝生物,a股
300240.SZ,飞力达,a股
300238.SZ,冠昊生物,a股
300242.SZ,佳云科技,a股
300241.SZ,瑞丰光电,a股
300243.SZ,瑞丰高材,a股
300244.SZ,迪安诊断,a股
300246.SZ,宝莱特,a股
300247.SZ,融捷健康,a股
300254.SZ,仟源医药,a股
300257.SZ,开山股份,a股
300260.SZ,新莱应材,a股
300263.SZ,隆华科技,a股
300264.SZ,佳创视讯,a股
300267.SZ,尔康制药,a股
300270.SZ,中威电子,a股
300272.SZ,开能健康,a股
300275.SZ,梅安森,a股
300279.SZ,和晶科技,a股
300281.SZ,金明精机,a股
300283.SZ,温州宏丰,a股
300284.SZ,苏交科,a股
300289.SZ,利德曼,a股
300294.SZ,博雅生物,a股
300298.SZ,三诺生物,a股
300299.SZ,富春股份,a股
300305.SZ,裕兴股份,a股
300306.SZ,远方信息,a股
300314.SZ,戴维医疗,a股
300315.SZ,掌趣科技,a股
300319.SZ,麦捷科技,a股
300317.SZ,珈伟新能,a股
300323.SZ,华灿光电,a股
300321.SZ,同大股份,a股
300327.SZ,中颖电子,a股
300329.SZ,海伦钢琴,a股
300332.SZ,天壕能源,a股
300333.SZ,兆日科技,a股
300334.SZ,津膜科技,a股
300335.SZ,迪森股份,a股
300340.SZ,科恒股份,a股
300348.SZ,长亮科技,a股
300350.SZ,华鹏飞,a股
300355.SZ,蒙草生态,a股
300358.SZ,楚天科技,a股
300357.SZ,我武生物,a股
300359.SZ,全通教育,a股
300364.SZ,中文在线,a股
300369.SZ,绿盟科技,a股
300371.SZ,汇中股份,a股
300374.SZ,中铁装配,a股
300375.SZ,鹏翎股份,a股
300377.SZ,赢时胜,a股
300381.SZ,溢多利,a股
300382.SZ,斯莱克,a股
300387.SZ,富邦科技,a股
300398.SZ,飞凯材料,a股
300401.SZ,花园生物,a股
300404.SZ,博济医药,a股
300405.SZ,科隆股份,a股
300406.SZ,九强生物,a股
300407.SZ,凯发电气,a股
300410.SZ,正业科技,a股
300409.SZ,道氏技术,a股
300412.SZ,迦南科技,a股
300414.SZ,中光防雷,a股
300417.SZ,南华仪器,a股
300420.SZ,五洋自控,a股
300422.SZ,博世科,a股
300424.SZ,航新科技,a股
300425.SZ,中建环能,a股
300426.SZ,华智数媒,a股
300428.SZ,立中集团,a股
300437.SZ,清水源,a股
300439.SZ,美康生物,a股
300443.SZ,金雷股份,a股
300445.SZ,康斯特,a股
300449.SZ,汉邦高科,a股
300451.SZ,创业慧康,a股
300452.SZ,山河药辅,a股
300453.SZ,三鑫医疗,a股
300456.SZ,赛微电子,a股
300455.SZ,航天智装,a股
300457.SZ,赢合科技,a股
300459.SZ,汤姆猫,a股
300463.SZ,迈克生物,a股
300464.SZ,星徽股份,a股
300470.SZ,中密控股,a股
300478.SZ,杭州高新,a股
300479.SZ,神思电子,a股
300484.SZ,蓝海华腾,a股
300491.SZ,通合科技,a股
300497.SZ,富祥股份,a股
300501.SZ,海顺新材,a股
300500.SZ,启迪设计,a股
300508.SZ,维宏股份,a股
300509.SZ,新美星,a股
300511.SZ,雪榕生物,a股
300514.SZ,友讯达,a股
300512.SZ,中亚股份,a股
300513.SZ,恒实科技,a股
300515.SZ,三德科技,a股
300517.SZ,海波重科,a股
300519.SZ,新光药业,a股
300521.SZ,爱司凯,a股
300522.SZ,世名科技,a股
300525.SZ,博思软件,a股
300534.SZ,陇神戎发,a股
300535.SZ,达威股份,a股
300538.SZ,同益股份,a股
300543.SZ,朗科智能,a股
300549.SZ,优德精密,a股
300550.SZ,和仁科技,a股
300554.SZ,三超新材,a股
300553.SZ,集智股份,a股
300557.SZ,理工光科,a股
300556.SZ,丝路视觉,a股
300560.SZ,中富通,a股
300562.SZ,乐心医疗,a股
300564.SZ,筑博设计,a股
300569.SZ,天能重工,a股
300579.SZ,数字认证,a股
300578.SZ,会畅科技,a股
300581.SZ,晨曦航空,a股
300582.SZ,英飞特,a股
300583.SZ,赛托生物,a股
300585.SZ,奥联电子,a股
300587.SZ,天铁科技,a股
300588.SZ,熙菱信息,a股
300591.SZ,万里马,a股
300593.SZ,新雷能,a股
300597.SZ,吉大通信,a股
300596.SZ,利安隆,a股
300598.SZ,诚迈科技,a股
300599.SZ,雄塑科技,a股
300602.SZ,飞荣达,a股
300605.SZ,恒锋信息,a股
300606.SZ,金太阳,a股
300608.SZ,思特奇,a股
300609.SZ,汇纳科技,a股
300610.SZ,晨化股份,a股
300612.SZ,宣亚国际,a股
300613.SZ,富瀚微,a股
300615.SZ,欣天科技,a股
300614.SZ,百川畅银,a股
300617.SZ,安靠智电,a股
300621.SZ,维业股份,a股
300625.SZ,三雄极光,a股
300626.SZ,华瑞股份,a股
300631.SZ,久吾高科,a股
300633.SZ,开立医疗,a股
300635.SZ,中达安,a股
300637.SZ,扬帆新材,a股
300640.SZ,德艺文创,a股
300642.SZ,透景生命,a股
300644.SZ,南京聚隆,a股
300645.SZ,正元智慧,a股
300647.SZ,超频三,a股
300649.SZ,杭州园林,a股
300650.SZ,太龙股份,a股
300651.SZ,金陵体育,a股
300654.SZ,世纪天鸿,a股
300655.SZ,晶瑞电材,a股
300663.SZ,科蓝软件,a股
300664.SZ,鹏鹞环保,a股
300665.SZ,飞鹿股份,a股
300667.SZ,必创科技,a股
300668.SZ,杰恩股份,a股
300670.SZ,大烨智能,a股
300671.SZ,富满微,a股
300672.SZ,国科微,a股
300673.SZ,佩蒂股份,a股
300675.SZ,建科院,a股
300674.SZ,宇信科技,a股
300682.SZ,朗新科技,a股
300685.SZ,艾德生物,a股
300687.SZ,赛意信息,a股
300686.SZ,智动力,a股
300692.SZ,中赋科技,a股
300694.SZ,蠡湖股份,a股
300696.SZ,爱乐达,a股
300701.SZ,森霸传感,a股
300702.SZ,天宇股份,a股
300707.SZ,威唐工业,a股
300710.SZ,万隆光电,a股
300708.SZ,聚灿光电,a股
300712.SZ,永福股份,a股
300713.SZ,英可瑞,a股
300719.SZ,安达维尔,a股
300717.SZ,华信新材,a股
300723.SZ,一品红,a股
300721.SZ,怡达股份,a股
300725.SZ,药石科技,a股
300726.SZ,宏达电子,a股
300730.SZ,科创信息,a股
300732.SZ,设研院,a股
300736.SZ,百邦科技,a股
300737.SZ,科顺股份,a股
300738.SZ,奥飞数据,a股
300741.SZ,华宝股份,a股
300743.SZ,天地数码,a股
300746.SZ,汉嘉数智,a股
300747.SZ,锐科激光,a股
300749.SZ,顶固集创,a股
300753.SZ,爱朋医疗,a股
300752.SZ,隆利科技,a股
300755.SZ,华致酒行,a股
300761.SZ,立华股份,a股
300762.SZ,上海瀚讯,a股
300768.SZ,迪普科技,a股
300770.SZ,新媒股份,a股
300773.SZ,拉卡拉,a股
300772.SZ,运达股份,a股
300771.SZ,智莱科技,a股
300775.SZ,三角防务,a股
300776.SZ,帝尔激光,a股
300777.SZ,中简科技,a股
300778.SZ,新城市,a股
300780.SZ,德恩精工,a股
300783.SZ,三只松鼠,a股
300787.SZ,海能实业,a股
300786.SZ,国林科技,a股
300789.SZ,唐源电气,a股
300792.SZ,壹网壹创,a股
300800.SZ,力合科技,a股
300798.SZ,锦鸡股份,a股
300805.SZ,电声股份,a股
300806.SZ,斯迪克,a股
300807.SZ,天迈科技,a股
300808.SZ,久量股份,a股
300813.SZ,泰林生物,a股
300811.SZ,铂科新材,a股
300812.SZ,易天股份,a股
300817.SZ,双飞集团,a股
300821.SZ,东岳硅材,a股
300823.SZ,建科智能,a股
300824.SZ,北鼎股份,a股
300825.SZ,阿尔特,a股
300826.SZ,测绘股份,a股
300827.SZ,上能电气,a股
300828.SZ,锐新科技,a股
